card,pos0,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51
2♥,192260,192036,191685,192580,193120,191485,192539,192058,192402,192422,192658,192994,192429,192331,191928,191752,192112,192941,192743,192612,191634,192518,191824,192561,192234,191727,192123,191687,192272,191592,191845,191818,192170,191618,192498,192899,193067,192981,192928,192725,191602,192380,192838,192417,192624,192158,192701,192401,193278,191415,192367,192011
3♥,191882,192438,192084,192087,192218,192702,192077,192610,192525,192539,192100,192576,191807,192023,191972,192249,192648,192070,192389,192515,192149,192314,192969,192351,192644,192603,192084,191351,191747,192122,192397,191924,191479,192305,192286,191805,193093,192842,192290,192776,192736,191500,192038,191741,192789,192834,192629,192699,192576,193090,191969,192357
4♥,193063,191854,192964,192283,192759,192037,192212,192759,193087,192367,191587,191850,191084,192519,192566,191781,191941,193137,192263,192429,193407,191822,192502,192074,192053,192255,191706,192069,191989,191668,192008,192641,192497,192132,192408,192519,191836,192138,192540,192419,192436,192206,192535,193464,192223,192093,192899,192326,192116,191935,192645,191897
5♥,191902,191875,192096,191994,191238,192783,192256,192438,192245,192085,192118,192466,192474,192620,191920,191834,192191,192610,192989,192467,191950,192153,192687,192305,192138,192698,192289,192780,192545,192292,192434,192314,192555,192721,191766,192725,192051,192059,193067,191803,192946,192196,192554,191998,192135,192368,191898,192000,192940,192064,192498,192470
6♥,191856,192577,192677,191862,191984,192186,192234,191925,192649,192117,192173,192152,192940,192945,191675,191997,191728,192399,192395,192721,192936,192100,191853,192659,192902,192797,192872,192050,192389,193234,191454,191491,192444,191942,192612,192699,192207,191905,192799,192433,192197,191570,192132,192323,192886,192925,191741,192247,191587,192346,192747,192329
7♥,192517,192814,192847,191946,192621,192524,192001,192610,192856,191700,192329,191960,191998,192289,192397,192917,192785,192737,192747,192212,192767,192751,192042,191926,192960,192778,191903,192323,192099,192593,192976,191770,192622,192170,192306,191976,191666,192008,192034,192342,191217,191301,192962,192091,192074,191996,192346,192206,193151,192315,192116,191406
8♥,192766,192105,191973,191726,192256,191884,191788,192295,192343,192083,192632,191879,191977,191492,192881,192990,192674,192381,192251,192634,191862,192579,193312,191866,192574,192349,191855,192357,192865,192721,192613,191958,192011,192243,192195,193119,192311,192575,192418,192247,192531,192226,191981,192348,192547,192045,192127,192565,192259,192395,192431,191505
9♥,193253,192676,191508,192232,191779,192327,192587,192093,192695,192223,192161,193209,192937,191715,191712,192573,191622,192052,191665,192231,192473,192407,192820,191423,192793,192709,191905,192223,192947,192070,192275,193219,191822,192121,191744,191370,192401,192329,192573,191927,192344,192542,192190,192189,192132,192646,191940,192729,192409,192635,193202,192241
10♥,192553,191962,191670,193305,192595,192678,192219,192676,192220,192787,192259,192389,192849,192375,191137,192386,191607,192491,192486,192799,192094,191889,192515,192771,192380,192568,192233,191545,192335,192461,191880,192486,192474,191030,191775,191952,193134,191898,192560,191817,192250,192599,191894,192681,191854,192425,192437,193043,192914,192069,192575,192019
J♥,192137,191838,192457,192597,192730,191972,193317,192304,192431,192111,191714,191595,192703,192575,191980,192078,192366,191734,192311,192707,192660,191873,192393,192656,190962,191974,192861,192546,192030,192677,193303,192292,192594,192485,192376,192072,192506,192235,191664,192299,192888,192360,191949,192962,192252,192490,192847,191906,192399,192264,191973,191595
Q♥,192299,192369,191988,191892,192057,192261,192612,193058,192235,192226,192611,192350,192170,193000,192243,192314,191922,191554,191943,191780,192171,191747,192104,192519,192041,192597,191365,193226,192582,192312,192677,192065,192410,192502,192537,191590,193311,192526,191964,191687,192203,192378,192047,192544,192591,192727,192312,193283,191990,192192,192348,192568
K♥,191961,192304,192386,192572,191425,192483,191728,191711,192991,192265,192478,192419,191987,192353,192460,192056,192320,192221,193328,191968,192014,192282,192413,192116,192790,192229,192422,192803,192490,191764,191512,192682,192708,192823,191754,192818,192124,191919,192089,192433,192955,192742,191528,192525,192592,192288,193104,191568,192478,192526,191884,192209
A♥,192826,192402,192260,192320,192566,192275,192062,192270,193414,192419,192318,191177,192216,192510,192461,192078,192129,192516,192270,191774,191839,192711,192752,192578,192674,192240,191803,191874,191887,192431,192218,192163,192473,192144,192085,192633,192022,192998,192712,192317,192109,191827,192180,192321,191739,192684,191898,193495,191487,192778,192569,192096
2♦,192667,191936,192065,192253,192683,192838,192595,191370,192491,192532,192459,192186,192130,192334,191714,192075,192429,192160,191752,192066,191919,192365,192058,192222,192461,193077,192165,192683,192154,192053,192395,193031,191671,192453,192587,192493,192552,191399,191550,192653,192292,192666,191932,192768,192150,192578,192287,192240,192680,192415,192635,192681
3♦,192006,191945,192338,192808,192395,192728,192376,192477,191750,192679,192782,192729,192567,192379,192598,192227,191450,192182,192752,192412,192127,191742,192716,192327,192234,192352,191872,192392,192079,192397,191675,191769,192742,192342,192712,192394,192152,193006,191683,192364,192730,192338,192564,193005,192074,192500,192326,191916,191852,191346,192680,192012
4♦,192369,192301,193050,192066,192433,191054,192293,192102,191937,192107,192503,192551,192112,191798,193277,192769,192255,192442,191335,193275,192907,192143,191608,192157,192236,192534,192238,192501,191810,192437,192681,192466,192524,192098,192215,192743,192809,192547,192728,192453,192590,192603,192351,192168,192124,191418,191863,191853,192742,191789,191994,192641
5♦,193039,192154,193342,192759,192598,192650,192137,192429,192886,191814,192459,192018,192262,192275,191775,192334,192349,191962,192062,192444,192342,192677,191929,193052,192422,192202,192964,192287,192703,192135,192200,192490,192879,191765,191582,191384,191565,192793,191794,192758,192393,191737,192590,192503,192901,191658,191741,192305,191764,192462,192092,192183
6♦,192296,192982,191937,191875,191825,193002,192711,192131,191462,192559,191845,192948,191981,192630,192555,191627,192251,192965,191729,191980,191943,191493,192148,192370,192509,192422,192572,192836,192098,192885,193225,191902,192545,192124,192216,192253,192455,192095,192609,192763,192555,192461,191925,191696,191967,192188,192230,192199,192703,192360,192496,192466
7♦,192011,192745,192725,192095,193036,192136,192930,192807,192164,192524,191608,192035,192027,192219,192138,192404,192525,191504,193138,192225,192689,192657,191973,192624,191842,191663,192577,192588,193001,192084,192778,192060,191302,191970,192471,192033,192640,191554,192115,191995,192173,193009,193184,192143,192003,192508,192664,192244,191999,191641,192347,192473
8♦,192227,192465,192415,192479,192440,192377,192529,192123,192488,192567,192850,192845,191729,191837,192277,192072,192516,192353,191903,192716,192155,192585,192383,192065,192276,191847,191815,192409,192641,191922,192810,192588,191858,193427,191558,191969,192013,192398,192175,192436,192001,192303,192916,192248,193070,192234,192286,192472,192565,191406,192013,191948
9♦,192714,191753,192393,192424,192596,192429,192313,192215,192613,192946,192651,191808,192964,192547,192599,192844,192938,191805,192367,192225,191689,192675,192304,191643,192252,191734,191866,192180,191822,193374,192581,192442,192559,192302,192095,191774,192174,192294,191844,192143,191852,192645,192838,191821,191800,192884,192152,192061,192333,191601,192890,192232
10♦,191723,192409,192158,192524,191990,192019,192262,191991,192386,192612,191711,192005,192762,191465,192762,191805,192832,192211,192230,191357,192128,192700,192768,192242,191574,192715,192689,191627,191776,192396,192427,192114,192889,193611,192128,192626,192564,192041,192664,192413,192198,192348,192886,192274,192380,191553,192558,192431,192064,193335,192363,192304
J♦,191539,191595,192772,191481,192930,192453,192597,192820,192838,191659,192641,192072,192501,192182,192408,192270,192508,191617,192341,192794,192720,192608,192315,192084,192085,191692,191995,192449,192057,192073,192173,192544,193200,192129,192611,192564,192845,192033,191774,191727,191890,192841,192008,191381,191861,192421,192442,192273,192741,192614,192531,193301
Q♦,191729,192542,193214,191661,192010,193006,191738,192428,193091,191873,192936,192377,191697,192043,192340,192340,192222,192895,192626,192194,192465,191546,191837,192656,192864,191796,192179,192979,192484,191941,192036,192168,192208,192984,192390,192364,191510,192694,192964,193019,192130,191917,191895,192737,191894,192648,191607,192228,192421,191953,192265,192259
K♦,192410,192696,191725,192321,192448,192313,191816,192587,192268,192876,192339,192478,192741,192363,192970,191911,192091,192103,192390,192453,192121,192890,192179,192728,192136,192610,191717,192248,192144,192013,191802,192081,192643,192226,191749,192129,192087,191951,191880,191780,192303,192733,192331,192276,192167,192834,192955,192521,192156,192291,192192,192828
A♦,192530,192755,192380,192658,191754,192754,192487,191961,192045,192552,192596,192739,192425,192461,192841,192089,192798,191632,191853,192149,191479,191637,192757,192395,191903,192328,192525,192109,192614,192197,192646,192368,191876,192529,193093,191783,193076,192276,191506,191522,192555,192832,192763,191502,192739,192007,192106,193029,191521,192718,192365,191785
2♣,191935,191534,191834,192131,193222,192435,192529,192015,192497,191908,193000,191774,192258,192017,193026,192428,191975,192461,192418,192526,192315,192196,191973,192803,192775,191843,192676,192414,191918,192703,192089,192616,191836,192616,192299,192281,192781,192557,192541,192361,191874,191925,192539,192062,191609,192304,192091,192583,192419,192222,192364,192492
3♣,192064,193210,192635,192536,191411,193113,193273,192561,192243,192385,191580,192251,193098,191430,192288,192827,191873,192016,192626,191885,193114,192931,192361,191707,191901,192003,192762,191754,192504,191571,192275,192296,191775,192676,192251,191957,191685,192464,192541,192165,192368,192375,193067,192618,192319,191800,192223,192113,192006,192413,191742,192958
4♣,191842,192539,192549,192207,191495,192434,192252,191478,192480,192909,191533,192115,192194,192684,192534,192375,191873,192339,192342,192499,192339,192630,193034,191734,192431,193069,191801,192550,192228,192437,192014,193333,191939,192363,192874,192475,192329,192565,192842,193183,192067,192014,192557,191633,192318,191539,191766,192398,192042,192795,192160,191868
5♣,192431,191404,193243,192689,192069,192075,192237,192276,192653,191993,192501,192178,191820,192457,192131,192248,192923,192574,192003,192250,192504,193068,192092,192039,192502,192175,191777,192103,192058,192326,192355,192574,192254,191676,193091,192804,192138,192577,192166,192203,191929,192337,192077,191873,192124,192237,192553,192416,192614,192121,191936,193146
6♣,192675,192749,192085,192645,191951,192152,191687,191718,191989,191783,192757,192807,192085,192099,192550,192863,191989,191834,191952,192535,192650,192150,192077,192356,192281,192352,193002,191958,192014,192956,192322,192302,191769,192560,192721,192276,192950,192168,192112,192259,192689,192541,193027,192643,192352,192161,191618,191847,191547,192115,192450,192870
7♣,192406,192042,192753,192690,192244,192101,191999,193006,192082,191965,192664,192545,192351,192573,192775,192511,192169,192916,191739,191706,191915,192723,192551,191641,192249,191828,192577,191934,192489,192333,191769,191781,191456,193039,192975,192514,192124,192676,191637,192677,192839,192072,192175,192166,191773,192836,192434,192782,192785,191760,192046,192207
8♣,192358,192333,192215,191997,192040,193214,193121,192606,191822,191937,192434,192695,192800,192038,192289,193126,193013,193252,192437,191891,192598,192526,191988,192485,192545,192712,191678,192218,191883,191185,192485,192529,191419,191708,192763,192347,192255,191936,192000,192508,191908,192792,192506,191463,192557,192462,192328,192025,191652,192187,192147,192587
9♣,192682,192763,192235,192193,192359,191995,192339,191848,192135,191600,192313,192909,192149,192802,191529,192322,192207,192233,192050,192435,192166,191647,192655,192255,192363,192366,192000,193300,192822,192225,192618,192159,192467,192719,192499,192823,192016,192054,192020,191960,192524,191535,192945,192191,192011,192314,192631,192417,192637,192133,192489,191941
10♣,192175,191971,192688,192360,192315,192641,192536,192355,192758,192407,192018,192766,192583,191882,192657,193329,192450,192028,192335,191535,192645,192617,192231,192882,192681,192180,193141,192041,192322,192654,191787,191685,192708,191876,192378,191712,192351,191913,192257,192852,192026,192614,191746,191998,192078,192191,192039,191948,191704,192056,192838,192060
J♣,192994,191965,192400,191978,192472,191838,192035,192193,192112,192992,192451,192769,192607,192520,192556,192437,192597,193286,191664,192325,191988,192291,192090,192348,191208,192479,192854,192287,191566,191423,192578,192664,192220,192811,191980,192542,191948,192214,192729,192003,191380,192163,192238,192358,192352,192438,191781,191959,192720,193359,191938,192900
Q♣,191939,192764,192812,191872,192178,192481,191715,191413,192404,192158,192810,192400,193042,193313,191339,191878,192575,192218,192780,191995,192061,191539,192190,192819,191334,191496,193296,192260,192738,192391,191872,191934,192813,192229,192642,192264,191651,192817,193012,192055,192084,191649,191909,192366,192104,193075,193000,192226,192668,192438,192268,192714
K♣,192636,192298,192082,192853,191898,192121,192662,193516,192524,192286,192209,192483,192153,192435,192078,192973,192077,191835,192624,192442,191733,191719,192168,193259,192610,192774,192054,192233,193512,192300,192393,191717,192553,192477,192626,192541,192735,191982,191224,192060,192083,192007,191917,191990,192038,191770,192297,191804,192625,192257,191898,192459
A♣,192367,191761,192137,192848,192620,192500,191716,191923,192153,192205,191506,192732,192426,193282,191952,192034,192187,191931,191802,192714,192139,193121,192405,192778,192962,192099,192137,192400,191874,192184,192266,191564,192305,192652,192750,192527,192104,192547,191733,192330,192761,192296,192500,192083,192538,192343,192643,192279,192582,191887,192071,192344
